time_s,volume_m3_mk1,volume_m3_mk2
0.000000000000000000e+00,4.223987328012619030e-03,4.223987328012619030e-03
1.000000000000000056e-01,4.215690139894525887e-03,4.214182101176969925e-03
2.000000000000000111e-01,4.220139582458154980e-03,4.222198129529239688e-03
3.000000000000000444e-01,4.217952021268291454e-03,4.215996199056245078e-03
4.000000000000000222e-01,4.218946223439559717e-03,4.220475888408872084e-03
5.000000000000000000e-01,4.218546087211208842e-03,4.217571594994325331e-03
6.000000000000000888e-01,4.217532609939397999e-03,4.216459553572667399e-03
7.000000000000000666e-01,4.220430140475007336e-03,4.219656922647701744e-03
8.000000000000000444e-01,4.218636783398165349e-03,4.217652556121670969e-03
9.000000000000000222e-01,4.219510210096873160e-03,4.218876020126093376e-03
1.000000000000000000e+00,4.219049079164355516e-03,4.218425532777392989e-03
1.100000000000000089e+00,4.219171552666535659e-03,4.218708395148566478e-03
1.200000000000000178e+00,4.219153284118913952e-03,4.218950411425148248e-03
1.300000000000000044e+00,4.218975470846899473e-03,4.218939093078855930e-03
1.400000000000000133e+00,4.218993230926912884e-03,4.219216648727077724e-03
1.500000000000000000e+00,4.218775304416369845e-03,4.219207479119116769e-03
1.600000000000000089e+00,4.218754691118676084e-03,4.219419866037039252e-03
1.700000000000000178e+00,4.218621482627219962e-03,4.219544146595382086e-03
1.800000000000000044e+00,4.218508164765998741e-03,4.219619743230368716e-03
1.900000000000000133e+00,4.218457898166065936e-03,4.219810051738758297e-03
2.000000000000000000e+00,4.218306423132217424e-03,4.219905531103400331e-03
