step,time_s,n_mk_1,mass_mk_1_kg_per_m,volume_mk_1_m3_per_m,mean_rhop_mk_1,n_mk_2,mass_mk_2_kg_per_m,volume_mk_2_m3_per_m,mean_rhop_mk_2,volume_total_m3_per_m,mass_total_kg_per_m,relvol_mk_1,volfrac_mk_1,relvol_mk_2,volfrac_mk_2
0,0.0,4224,506.8789862405026,0.4223991552004188,1200.0,4224,422.3991552004189,0.4223991552004188,1000.0,0.8447983104008376,929.2781414409214,1.0,0.5,1.0,0.5
1,0.100003,4224,506.8789862405026,0.42156943555889,1202.3632530776515,4224,422.3991552004189,0.42141863153633025,1002.3284302035986,0.8429880670952202,929.2781414409214,0.9980356976776263,0.5000894461193736,0.9976786798647281,0.49991055388062644
2,0.200011,4224,506.8789862405026,0.4220143802601975,1201.0944758522728,4224,422.3991552004189,0.422220235173161,1000.4238734138257,0.8442346154333584,929.2781414409214,0.9990890726567889,0.4998780819281748,0.9995764195428541,0.5001219180718253
3,0.300007,4224,506.8789862405026,0.4217956239224549,1201.7178208806818,4224,422.3991552004189,0.42160004150566777,1001.89640929214,0.8433956654281227,929.2781414409214,0.9985711825638535,0.5001159493846152,0.9981081550829052,0.4998840506153847
4,0.400012,4224,506.8789862405026,0.42189504423900204,1201.4344267518939,4224,422.3991552004189,0.4220480108889,1000.8323448887311,0.843943055127902,929.2781414409214,0.9988065531021775,0.49990937383217476,0.9991686907817033,0.5000906261678253
5,0.500009,4224,506.8789862405026,0.42185503057615326,1201.548463304924,4224,422.3991552004189,0.42175758125701557,1001.5218443892046,0.8436126118331688,929.2781414409214,0.9987118235972622,0.500057757149295,0.9984811192553195,0.49994224285070493
6,0.600003,4224,506.8789862405026,0.42175368274762426,1201.8377041666668,4224,422.3991552004189,0.4216463770036456,1001.787001896307,0.8434000597512699,929.2781414409214,0.9984718898112183,0.5000636149729526,0.9982178510834946,0.49993638502704735
7,0.700001,4224,506.8789862405026,0.42204343609093864,1201.01191640625,4224,422.3991552004189,0.42196611423088615,1001.0271121567235,0.8440095503218248,929.2781414409214,0.9991578602724445,0.5000458062708076,0.998974806260379,0.4999541937291924
8,0.800019,4224,506.8789862405026,0.4218641002039184,1201.5227440104168,4224,422.3991552004189,0.4217656773778462,1001.5031964512311,0.8436297775817646,929.2781414409214,0.9987332952968465,0.500058332949291,0.9985002862463774,0.49994166705070897
9,0.900001,4224,506.8789862405026,0.4219514429611321,1201.273922537879,4224,422.3991552004189,0.42188802390063507,1001.2125388044506,0.8438394668617671,929.2781414409214,0.9989400730712297,0.5000375776809378,0.9987899329496972,0.4999624223190621
10,1.00002,4224,506.8789862405026,0.4219053298217671,1201.4053154592802,4224,422.3991552004189,0.4218429751207162,1001.3194935298295,0.8437483049424833,929.2781414409214,0.9988309034888637,0.500036951008189,0.9986832831627263,0.49996304899181093
11,1.1,4224,506.8789862405026,0.4219175771842325,1201.3702981770832,4224,422.3991552004189,0.4218712613861198,1001.2521372301135,0.8437888385703523,929.2781414409214,0.9988598982496596,0.5000274451355574,0.9987502488871017,0.4999725548644427
12,1.20001,4224,506.8789862405026,0.42191575032764356,1201.3754187263257,4224,422.3991552004189,0.42189546303797976,1001.1944698839961,0.8438112133656233,929.2781414409214,0.9988555732964336,0.5000120212254486,0.998807544579013,0.4999879787745515
13,1.30001,4224,506.8789862405026,0.42189796898266074,1201.4260311079547,4224,422.3991552004189,0.4218943312022186,1001.1971450473484,0.8437923001848793,929.2781414409214,0.9988134772250662,0.500002155613675,0.9988048650382345,0.4999978443863251
14,1.40001,4224,506.8789862405026,0.42189974499243804,1201.4209357717805,4224,422.3991552004189,0.42192208679479637,1001.1312412144888,0.8438218317872344,929.2781414409214,0.998817681802077,0.49998676154045996,0.9988705744323847,0.5000132384595402
15,1.50001,4224,506.8789862405026,0.421877952319591,1201.4830069839015,4224,422.3991552004189,0.42192116983308325,1001.1334384280304,0.8437991221526743,929.2781414409214,0.9987660891968866,0.49997439111255415,0.998868403590654,0.5000256088874458
16,1.60001,4224,506.8789862405026,0.42187589098776035,1201.4888448390152,4224,422.3991552004189,0.4219424085461142,1001.0830268963067,0.8438182995338745,929.2781414409214,0.9987612091401789,0.499960585378161,0.9989186847353236,0.500039414621839
17,1.7,4224,506.8789862405026,0.4218625701252939,1201.526783404356,4224,422.3991552004189,0.4219548366143767,1001.0535390435607,0.8438174067396707,929.2781414409214,0.9987296729443733,0.4999453279297476,0.9989481073042599,0.5000546720702523
18,1.80002,4224,506.8789862405026,0.42185123832783994,1201.5590465672346,4224,422.3991552004189,0.42196239628543497,1001.035603967803,0.843813634613275,929.2781414409214,0.9987028457187163,0.49993413358528743,0.998966004288582,0.5000658664147125
19,1.90002,4224,506.8789862405026,0.4218462116628201,1201.5733424242424,4224,422.3991552004189,0.4219814271553048,1000.990436155303,0.843827638818125,929.2781414409214,0.9986909454462892,0.499919879673132,0.9990110585213746,0.500080120326868
20,2.00002,4224,506.8789862405026,0.42183106414428767,1201.6164964015152,4224,422.3991552004189,0.4219909751013169,1000.9677924739583,0.8438220392456046,929.2781414409214,0.9986550847719816,0.4999052460414685,0.9990336626054371,0.5000947539585314
21,2.10001,4224,506.8789862405026,0.42182680331019984,1201.628613375947,4224,422.3991552004189,0.4220041649838297,1000.9364926089016,0.8438309682940295,929.2781414409214,0.9986449975498947,0.4998949068709884,0.9990648887155049,0.5001050931290116
22,2.20002,4224,506.8789862405026,0.4218166932765565,1201.657393063447,4224,422.3991552004189,0.422018617476138,1000.9021988020831,0.8438353107526946,929.2781414409214,0.9986210627632862,0.49988035331242453,0.9990991039645895,0.5001196466875754
23,2.30001,4224,506.8789862405026,0.4218168883570248,1201.6568272727272,4224,422.3991552004189,0.4220314701636689,1000.8716939843752,0.8438483585206937,929.2781414409214,0.9986215246024397,0.49987285523253233,0.9991295317894859,0.5001271447674676
24,2.40002,4224,506.8789862405026,0.42180353521313946,1201.6948421875,4224,422.3991552004189,0.4220374541996155,1000.8574991027461,0.843840989412755,929.2781414409214,0.9985899119826678,0.4998613962882753,0.9991436985695872,0.5001386037117247
25,2.5,4224,506.8789862405026,0.42179011314916093,1201.7330980587121,4224,422.3991552004189,0.42204432678952275,1000.8411873129733,0.8438344399386837,929.2781414409214,0.9985581361994701,0.4998493699543833,0.9991599689380825,0.5001506300456167
26,2.60002,4224,506.8789862405026,0.42179073818359614,1201.7312918560606,4224,422.3991552004189,0.422053206648032,1000.8201099976326,0.8438439448316282,929.2781414409214,0.9985596159241038,0.49984448044804763,0.9991809913724313,0.5001555195519524
27,2.70002,4224,506.8789862405026,0.4217761578960201,1201.7728352035986,4224,422.3991552004189,0.4220583015750655,1000.8080251680869,0.8438344594710856,929.2781414409214,0.9985250981287992,0.4998328204804398,0.9991930532503277,0.5001671795195602
28,2.80001,4224,506.8789862405026,0.4217792248804899,1201.7640741950759,4224,422.3991552004189,0.4220679977689906,1000.7850111529357,0.8438472226494805,929.2781414409214,0.9985323589967059,0.4998288950412173,0.9992160083007953,0.5001711049587827
29,2.90002,4224,506.8789862405026,0.42177145955792317,1201.7862002604168,4224,422.3991552004189,0.422070342741406,1000.7794436789773,0.8438418022993291,929.2781414409214,0.9985139751470435,0.4998229033080203,0.9992215598564423,0.5001770966919797
30,3.00001,4224,506.8789862405026,0.42176548022423915,1201.8032200994317,4224,422.3991552004189,0.42207630867256174,1000.7652790269887,0.8438417888968008,929.2781414409214,0.9984998194992152,0.4998158253997299,0.9992356837747369,0.5001841746002702
31,3.10001,4224,506.8789862405026,0.4217614597421698,1201.8146779356061,4224,422.3991552004189,0.42207877713024855,1000.7594181107953,0.8438402368724183,929.2781414409214,0.9984903012934615,0.499811980174556,0.9992415276729939,0.500188019825444
