step,time_s,n_total,n_mk_1,n_mk_2,vol_proxy_mk1,vol_proxy_mk2,volfrac_mk1,volfrac_mk2,relvol_mk1,relvol_mk2
0,0.0,8448,4224,4224,4224.0,4224.0,0.5,0.5,1.0,1.0
1,0.100003,8448,4224,4224,4224.0,4224.0,0.5,0.5,1.0,1.0
2,0.200011,8448,4224,4224,4224.0,4224.0,0.5,0.5,1.0,1.0
3,0.300007,8448,4224,4224,4224.0,4224.0,0.5,0.5,1.0,1.0
4,0.400012,8448,4224,4224,4224.0,4224.0,0.5,0.5,1.0,1.0
5,0.500009,8448,4224,4224,4224.0,4224.0,0.5,0.5,1.0,1.0
6,0.600003,8448,4224,4224,4224.0,4224.0,0.5,0.5,1.0,1.0
7,0.700001,8448,4224,4224,4224.0,4224.0,0.5,0.5,1.0,1.0
8,0.800019,8448,4224,4224,4224.0,4224.0,0.5,0.5,1.0,1.0
9,0.900001,8448,4224,4224,4224.0,4224.0,0.5,0.5,1.0,1.0
10,1.00002,8448,4224,4224,4224.0,4224.0,0.5,0.5,1.0,1.0
11,1.1,8448,4224,4224,4224.0,4224.0,0.5,0.5,1.0,1.0
12,1.20001,8448,4224,4224,4224.0,4224.0,0.5,0.5,1.0,1.0
13,1.30001,8448,4224,4224,4224.0,4224.0,0.5,0.5,1.0,1.0
14,1.40001,8448,4224,4224,4224.0,4224.0,0.5,0.5,1.0,1.0
15,1.50001,8448,4224,4224,4224.0,4224.0,0.5,0.5,1.0,1.0
16,1.60001,8448,4224,4224,4224.0,4224.0,0.5,0.5,1.0,1.0
17,1.7,8448,4224,4224,4224.0,4224.0,0.5,0.5,1.0,1.0
18,1.80002,8448,4224,4224,4224.0,4224.0,0.5,0.5,1.0,1.0
19,1.90002,8448,4224,4224,4224.0,4224.0,0.5,0.5,1.0,1.0
20,2.00002,8448,4224,4224,4224.0,4224.0,0.5,0.5,1.0,1.0
21,2.10001,8448,4224,4224,4224.0,4224.0,0.5,0.5,1.0,1.0
22,2.20002,8448,4224,4224,4224.0,4224.0,0.5,0.5,1.0,1.0
23,2.30001,8448,4224,4224,4224.0,4224.0,0.5,0.5,1.0,1.0
24,2.40002,8448,4224,4224,4224.0,4224.0,0.5,0.5,1.0,1.0
25,2.5,8448,4224,4224,4224.0,4224.0,0.5,0.5,1.0,1.0
26,2.60002,8448,4224,4224,4224.0,4224.0,0.5,0.5,1.0,1.0
27,2.70002,8448,4224,4224,4224.0,4224.0,0.5,0.5,1.0,1.0
28,2.80001,8448,4224,4224,4224.0,4224.0,0.5,0.5,1.0,1.0
29,2.90002,8448,4224,4224,4224.0,4224.0,0.5,0.5,1.0,1.0
30,3.00001,8448,4224,4224,4224.0,4224.0,0.5,0.5,1.0,1.0
31,3.10001,8448,4224,4224,4224.0,4224.0,0.5,0.5,1.0,1.0
32,3.20001,8448,4224,4224,4224.0,4224.0,0.5,0.5,1.0,1.0
33,3.30001,8448,4224,4224,4224.0,4224.0,0.5,0.5,1.0,1.0
34,3.40002,8448,4224,4224,4224.0,4224.0,0.5,0.5,1.0,1.0
35,3.50002,8448,4224,4224,4224.0,4224.0,0.5,0.5,1.0,1.0
36,3.60002,8448,4224,4224,4224.0,4224.0,0.5,0.5,1.0,1.0
37,3.7,8448,4224,4224,4224.0,4224.0,0.5,0.5,1.0,1.0
38,3.8,8448,4224,4224,4224.0,4224.0,0.5,0.5,1.0,1.0
39,3.9,8448,4224,4224,4224.0,4224.0,0.5,0.5,1.0,1.0
40,4.00002,8448,4224,4224,4224.0,4224.0,0.5,0.5,1.0,1.0
41,4.10002,8448,4224,4224,4224.0,4224.0,0.5,0.5,1.0,1.0
42,4.20002,8448,4224,4224,4224.0,4224.0,0.5,0.5,1.0,1.0
43,4.30002,8448,4224,4224,4224.0,4224.0,0.5,0.5,1.0,1.0
44,4.40001,8448,4224,4224,4224.0,4224.0,0.5,0.5,1.0,1.0
45,4.5,8448,4224,4224,4224.0,4224.0,0.5,0.5,1.0,1.0
46,4.6,8448,4224,4224,4224.0,4224.0,0.5,0.5,1.0,1.0
47,4.7,8448,4224,4224,4224.0,4224.0,0.5,0.5,1.0,1.0
48,4.80001,8448,4224,4224,4224.0,4224.0,0.5,0.5,1.0,1.0
49,4.9,8448,4224,4224,4224.0,4224.0,0.5,0.5,1.0,1.0
50,5.0,8448,4224,4224,4224.0,4224.0,0.5,0.5,1.0,1.0
