step,time_s,count_mk1,count_mk2,vol_mk1_rel,vol_mk2_rel,vol_mk1_particle_units,vol_mk2_particle_units
0,0.0,4224,4224,1.0,1.0,4224.0,4224.0
1,0.1,4224,4224,1.0,1.0,4224.0,4224.0
2,0.2,4224,4224,1.0,1.0,4224.0,4224.0
3,0.30000000000000004,4224,4224,1.0,1.0,4224.0,4224.0
4,0.4,4224,4224,1.0,1.0,4224.0,4224.0
5,0.5,4224,4224,1.0,1.0,4224.0,4224.0
6,0.6000000000000001,4224,4224,1.0,1.0,4224.0,4224.0
7,0.7000000000000001,4224,4224,1.0,1.0,4224.0,4224.0
8,0.8,4224,4224,1.0,1.0,4224.0,4224.0
9,0.9,4224,4224,1.0,1.0,4224.0,4224.0
10,1.0,4224,4224,1.0,1.0,4224.0,4224.0
11,1.1,4224,4224,1.0,1.0,4224.0,4224.0
12,1.2000000000000002,4224,4224,1.0,1.0,4224.0,4224.0
13,1.3,4224,4224,1.0,1.0,4224.0,4224.0
14,1.4000000000000001,4224,4224,1.0,1.0,4224.0,4224.0
15,1.5,4224,4224,1.0,1.0,4224.0,4224.0
16,1.6,4224,4224,1.0,1.0,4224.0,4224.0
17,1.7000000000000002,4224,4224,1.0,1.0,4224.0,4224.0
18,1.8,4224,4224,1.0,1.0,4224.0,4224.0
19,1.9000000000000001,4224,4224,1.0,1.0,4224.0,4224.0
20,2.0,4224,4224,1.0,1.0,4224.0,4224.0
